produit;ref;description;min;max;ht;option_nom;option_valeur;option_prix;option_nom;option_valeur;option_prix;option_nom;option_valeur;option_prix;option_nom;option_valeur;option_prix;tag;tag;tag;tag
Aimant en couleur;MTA-1;Aimant frigo en laiton. Impression en couleurs avec finition brillante. Personnalisable avec marquage inclus.;100;249;1,58 €;couleur;rouge;10;Couleur;vert;6;technique de personalisation;Sérigraphie;0;surface d'impression;79.3 x 54mm;0;Outils;Nouveau;outils;Hors Ecriture
Aimant en couleur;MTA-1;Aimant frigo en laiton. Impression en couleurs avec finition brillante. Personnalisable avec marquage inclus.;250;999;1,46 €;divers;n/a;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;En couleur;0;surface d'impression;79.3 x 54mm;0;outils;Nouveau;;Hors Ecriture
Aimant en couleur;MTA-1;Aimant frigo en laiton. Impression en couleurs avec finition brillante. Personnalisable avec marquage inclus.;1000;999999;1,40 €;divers;n/a;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;En couleur;0;surface d'impression;79.3 x 54mm;0;Outils;Nouveau;;Hors Ecriture
Arctic Frost ;PAP-1;Un corps translucide dépolie avec grip confort coloré, accents chromés et une attache design. Action par clic. Personnalisable avec marquage inclus06/06/2014;250;999;0,84 €;divers;Rouge;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Sérigraphie;0;surface d'impression;40.6 x 5.5mm;0;Instrument d'Ecriture - Plastique;Nouveau;;Stylo Bille - Ecriture Noire
Arctic Frost ;PAP-1;Un corps translucide dépolie avec grip confort coloré, accents chromés et une attache design. Action par clic. Personnalisable avec marquage inclus06/06/2014;1000;999999;0,80 €;divers;Rouge;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Sérigraphie;0;surface d'impression;40.6 x 5.5mm;0;Instrument d'Ecriture - Plastique;Nouveau;;Stylo Bille - Ecriture Noire
Arctic Frost ;PAP-2;Un corps translucide dépolie avec grip confort coloré, accents chromés et une attache design. Action par clic. Personnalisable avec marquage inclus06/06/2015;250;999;0,84 €;divers;Noir;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Sérigraphie;0;surface d'impression;40.6 x 5.5mm;0;Instrument d'Ecriture - Plastique;Nouveau;;Stylo Bille - Ecriture Noire
Arctic Frost ;PAP-2;Un corps translucide dépolie avec grip confort coloré, accents chromés et une attache design. Action par clic. Personnalisable avec marquage inclus06/06/2015;1000;999999;0,80 €;divers;Noir;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Sérigraphie;0;surface d'impression;40.6 x 5.5mm;0;Instrument d'Ecriture - Plastique;Nouveau;;Stylo Bille - Ecriture Noire
Arctic Frost ;PAP-3;Un corps translucide dépolie avec grip confort coloré, accents chromés et une attache design. Action par clic. Personnalisable avec marquage inclus06/06/2016;250;999;0,84 €;divers;Bleu;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Sérigraphie;0;surface d'impression;40.6 x 5.5mm;0;Instrument d'Ecriture - Plastique;Nouveau;;Stylo Bille - Ecriture Noire
Arctic Frost ;PAP-3;Un corps translucide dépolie avec grip confort coloré, accents chromés et une attache design. Action par clic. Personnalisable avec marquage inclus06/06/2016;1000;999999;0,80 €;divers;Bleu;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Sérigraphie;0;surface d'impression;40.6 x 5.5mm;0;Instrument d'Ecriture - Plastique;Nouveau;;Stylo Bille - Ecriture Noire
Arctic Frost ;PAP-4;Un corps translucide dépolie avec grip confort coloré, accents chromés et une attache design. Action par clic. Personnalisable avec marquage inclus06/06/2017;250;999;0,84 €;divers;Violet;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Sérigraphie;0;surface d'impression;40.6 x 5.5mm;0;Instrument d'Ecriture - Plastique;Nouveau;;Stylo Bille - Ecriture Noire
Arctic Frost ;PAP-4;Un corps translucide dépolie avec grip confort coloré, accents chromés et une attache design. Action par clic. Personnalisable avec marquage inclus06/06/2017;1000;999999;0,80 €;divers;Violet;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Sérigraphie;0;surface d'impression;40.6 x 5.5mm;0;Instrument d'Ecriture - Plastique;Nouveau;;Stylo Bille - Ecriture Noire
Bloc notes (NBF) et stylo (PSD) avec étui;7045I- 7072I-1;Bloc-notes spiral avec le stylo Deluxe Serpent dans un étui transparent à fermeture par clic et sangle en corde noire. Personnalisable avec marquage inclus.;100;249;3,90 €;divers;n/a;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Bloc notes et stylo en couleur;0;surface d'impression;74.3 x 117.2mm;0;Articles en Papier;;;Stylo Bille - Encre Noire ou Bleue
Bloc notes (NBF) et stylo (PSD) avec étui;7045I- 7072I-1;Bloc-notes spiral avec le stylo Deluxe Serpent dans un étui transparent à fermeture par clic et sangle en corde noire. Personnalisable avec marquage inclus.;250;999;3,88 €;divers;n/a;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Bloc notes et stylo en couleur;0;surface d'impression;74.3 x 117.2mm;0;Articles en Papier;;;Stylo Bille - Encre Noire ou Bleue
Bloc notes (NBF) et stylo (PSD) avec étui;7045I- 7072I-1;Bloc-notes spiral avec le stylo Deluxe Serpent dans un étui transparent à fermeture par clic et sangle en corde noire. Personnalisable avec marquage inclus.;1000;999999;3,74 €;divers;n/a;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Bloc notes et stylo en couleur;0;surface d'impression;74.3 x 117.2mm;0;Articles en Papier;;;Stylo Bille - Encre Noire ou Bleue
Bloc notes (NBS) et stylo (CTR) avec étui;7047i-1;Bloc-notes spiral avec le stylo Contour Pen dans un étui transparent avec sangle en corde blanche. Personnalisable avec marquage inclus.;100;249;5,10 €;divers;n/a;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Bloc notes et stylo en couleur;0;surface d'impression;91.5 x 153.7mm;0;Articles en Papier;;"Encre ""Eversmooth""";Stylo Bille - Encre Noire ou Bleue
Bloc notes (NBS) et stylo (CTR) avec étui;7047i-1;Bloc-notes spiral avec le stylo Contour Pen dans un étui transparent avec sangle en corde blanche. Personnalisable avec marquage inclus.;250;999;5,08 €;divers;n/a;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Bloc notes et stylo en couleur;0;surface d'impression;91.5 x 153.7mm;0;Articles en Papier;;"Encre ""Eversmooth""";Stylo Bille - Encre Noire ou Bleue
Bloc notes (NBS) et stylo (CTR) avec étui;7047i-1;Bloc-notes spiral avec le stylo Contour Pen dans un étui transparent avec sangle en corde blanche. Personnalisable avec marquage inclus.;1000;999999;4,90 €;divers;n/a;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Bloc notes et stylo en couleur;0;surface d'impression;91.5 x 153.7mm;0;Articles en Papier;;"Encre ""Eversmooth""";Stylo Bille - Encre Noire ou Bleue
Bloc notes deluxe de taille grande /stylo PHC;11764A-1;Bloc-notes personnalisable avec marquage inclus.à couverture rigide de forme courbé avec 50 feuilles de papier à 80g. La couverture arrière est plus large pour maintenir en place le stylo Dimple Grip avec une élastique. Emballé dans un étui transparent avec fermeture et poignée.  *Disponible avec ou sans l’étui*;50;99;4,70 €;divers;n/a;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Bloc-notes et stylo en couleur;0;surface d'impression;65 x 104mm;0;Articles en Papier;Nouveau;"Encre ""Eversmooth""";Hors Ecriture
Bloc notes deluxe de taille grande /stylo PHC;11764A-1;Bloc-notes personnalisable avec marquage inclus.à couverture rigide de forme courbé avec 50 feuilles de papier à 80g. La couverture arrière est plus large pour maintenir en place le stylo Dimple Grip avec une élastique. Emballé dans un étui transparent avec fermeture et poignée.  *Disponible avec ou sans l’étui*;100;249;4,46 €;divers;n/a;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Bloc-notes et stylo en couleur;0;surface d'impression;65 x 104mm;0;Articles en Papier;Nouveau;"Encre ""Eversmooth""";Hors Ecriture
Bloc notes deluxe de taille grande /stylo PHC;11764A-1;Bloc-notes personnalisable avec marquage inclus.à couverture rigide de forme courbé avec 50 feuilles de papier à 80g. La couverture arrière est plus large pour maintenir en place le stylo Dimple Grip avec une élastique. Emballé dans un étui transparent avec fermeture et poignée.  *Disponible avec ou sans l’étui*;250;999;4,14 €;divers;n/a;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Bloc-notes et stylo en couleur;0;surface d'impression;65 x 104mm;0;Articles en Papier;Nouveau;"Encre ""Eversmooth""";Hors Ecriture
Bloc notes deluxe de taille grande /stylo PHC;11764A-1;Bloc-notes personnalisable avec marquage inclus.à couverture rigide de forme courbé avec 50 feuilles de papier à 80g. La couverture arrière est plus large pour maintenir en place le stylo Dimple Grip avec une élastique. Emballé dans un étui transparent avec fermeture et poignée.  *Disponible avec ou sans l’étui*;1000;999999;4,00 €;divers;n/a;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Bloc-notes et stylo en couleur;0;surface d'impression;65 x 104mm;0;Articles en Papier;Nouveau;"Encre ""Eversmooth""";Hors Ecriture
Bloc notes deluxe de taille moyenne /stylo PHC;11765A-1;Bloc-notes rigide, personnalisable avec marquage inclus, avec 50 feuilles de papier à 80g. La couverture plus large permet de maintenir en place le stylo Dimple Grip à l’aide d’une élastique. Livré avec un étui avec fermeture par clic et une poignée *Disponible avec ou sans l’étui en plastique*;50;99;4,16 €;divers;n/a;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Bloc-notes et stylo en couleur;0;surface d'impression;15 x 93mm;0;Articles en Papier;Nouveau;;Hors Ecriture
Bloc notes deluxe de taille moyenne /stylo PHC;11765A-1;Bloc-notes rigide, personnalisable avec marquage inclus, avec 50 feuilles de papier à 80g. La couverture plus large permet de maintenir en place le stylo Dimple Grip à l’aide d’une élastique. Livré avec un étui avec fermeture par clic et une poignée *Disponible avec ou sans l’étui en plastique*;100;249;3,94 €;divers;n/a;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Bloc-notes et stylo en couleur;0;surface d'impression;15 x 93mm;0;Articles en Papier;Nouveau;;Hors Ecriture
Bloc notes deluxe de taille moyenne /stylo PHC;11765A-1;Bloc-notes rigide, personnalisable avec marquage inclus, avec 50 feuilles de papier à 80g. La couverture plus large permet de maintenir en place le stylo Dimple Grip à l’aide d’une élastique. Livré avec un étui avec fermeture par clic et une poignée *Disponible avec ou sans l’étui en plastique*;250;999;3,66 €;divers;n/a;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Bloc-notes et stylo en couleur;0;surface d'impression;15 x 93mm;0;Articles en Papier;Nouveau;;Hors Ecriture
Bloc notes deluxe de taille moyenne /stylo PHC;11765A-1;Bloc-notes rigide, personnalisable avec marquage inclus, avec 50 feuilles de papier à 80g. La couverture plus large permet de maintenir en place le stylo Dimple Grip à l’aide d’une élastique. Livré avec un étui avec fermeture par clic et une poignée *Disponible avec ou sans l’étui en plastique*;1000;999999;3,54 €;divers;n/a;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Bloc-notes et stylo en couleur;0;surface d'impression;15 x 93mm;0;Articles en Papier;Nouveau;;Hors Ecriture
Bloc notes en couleur;NCE-1;Large zone d'impression sur la couverture. Contient une variété de post-its (50 feuilles) et des marque-pages fluos. Couleurs: Bleu, Vert, Jaune, Rose fluo et orange. Personnalisable avec marquage inclus.;100;249;2,28 €;divers;n/a;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;En couleur;0;surface d'impression;100.5 x 74.5mm;0;Articles en Papier;Nouveau;;Hors Ecriture
Bloc notes en couleur;NCE-1;Large zone d'impression sur la couverture. Contient une variété de post-its (50 feuilles) et des marque-pages fluos. Couleurs: Bleu, Vert, Jaune, Rose fluo et orange. Personnalisable avec marquage inclus.;250;999;2,10 €;divers;n/a;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;En couleur;0;surface d'impression;100.5 x 74.5mm;0;Articles en Papier;Nouveau;;Hors Ecriture
Bloc notes en couleur;NCE-1;Large zone d'impression sur la couverture. Contient une variété de post-its (50 feuilles) et des marque-pages fluos. Couleurs: Bleu, Vert, Jaune, Rose fluo et orange. Personnalisable avec marquage inclus.;1000;999999;2,02 €;divers;n/a;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;En couleur;0;surface d'impression;100.5 x 74.5mm;0;Articles en Papier;Nouveau;;Hors Ecriture
Bloc notes en couleur en coffret avec stylo;PNP-1;Ce bloc de notes blanc est protégé par une couverture en plastique solide. Personnalisable avec marquage inclus. Livré avec un stylo bille à action par clic. Zone d’impression large sur la couverture.;100;249;2,12 €;divers;En couleur;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;En couleur;0;surface d'impression;65 x 104mm;0;Articles en Papier;;;Hors Ecriture
Bloc notes en couleur en coffret avec stylo;PNP-1;Ce bloc de notes blanc est protégé par une couverture en plastique solide. Personnalisable avec marquage inclus. Livré avec un stylo bille à action par clic. Zone d’impression large sur la couverture.;250;999;1,96 €;divers;En couleur;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;En couleur;0;surface d'impression;65 x 104mm;0;Articles en Papier;;;Hors Ecriture
Bloc notes en couleur en coffret avec stylo;PNP-1;Ce bloc de notes blanc est protégé par une couverture en plastique solide. Personnalisable avec marquage inclus. Livré avec un stylo bille à action par clic. Zone d’impression large sur la couverture.;1000;999999;1,88 €;divers;En couleur;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;En couleur;0;surface d'impression;65 x 104mm;0;Articles en Papier;;;Hors Ecriture
Bloc notes Hunterman;NPF-1;Bloc-notes élégant avec couverture rigide, finition métallique et sangle élastique. Ce bloc-notes personnalisable avec marquage inclus, contient 80 feuilles avec lignes de chaque côté en couleur écru et un ruban noir marque pages. ;50;99;4,84 €;divers;Noir;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Gravure Laser;0;surface d'impression;40 x 40mm;0;Articles en Papier;Nouveau;;Hors Ecriture
Bloc notes Hunterman;NPF-1;Bloc-notes élégant avec couverture rigide, finition métallique et sangle élastique. Ce bloc-notes personnalisable avec marquage inclus, contient 80 feuilles avec lignes de chaque côté en couleur écru et un ruban noir marque pages. ;100;249;4,60 €;divers;Noir;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Gravure Laser;0;surface d'impression;40 x 40mm;0;Articles en Papier;Nouveau;;Hors Ecriture
Bloc notes Hunterman;NPF-1;Bloc-notes élégant avec couverture rigide, finition métallique et sangle élastique. Ce bloc-notes personnalisable avec marquage inclus, contient 80 feuilles avec lignes de chaque côté en couleur écru et un ruban noir marque pages. ;250;999;4,26 €;divers;Noir;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Gravure Laser;0;surface d'impression;40 x 40mm;0;Articles en Papier;Nouveau;;Hors Ecriture
Bloc notes Hunterman;NPF-1;Bloc-notes élégant avec couverture rigide, finition métallique et sangle élastique. Ce bloc-notes personnalisable avec marquage inclus, contient 80 feuilles avec lignes de chaque côté en couleur écru et un ruban noir marque pages. ;1000;999999;4,12 €;divers;Noir;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Gravure Laser;0;surface d'impression;40 x 40mm;0;Articles en Papier;Nouveau;;Hors Ecriture
Bloc-Notes en Bambou avec Marque-pages;NAM-1;Couverture en bambou! Chaque bloc-notes comporte: bloc de 50 post-its en taille grande et moyenne, plus 5 ensembles de 50 marque pages fluos. Personnalisable avec marquage inclus.;50;99;3,40 €;divers;Bambou;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Gravure Laser (Les logos trop précis ne sont pas tous possibles sur ce produit);0;surface d'impression;89 x 28.5mm;0;Respectueux de l'environnement;Nouveau;;Hors Ecriture
Bloc-Notes en Bambou avec Marque-pages;NAM-1;Couverture en bambou! Chaque bloc-notes comporte: bloc de 50 post-its en taille grande et moyenne, plus 5 ensembles de 50 marque pages fluos. Personnalisable avec marquage inclus.;100;249;3,32 €;divers;Bambou;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Gravure Laser (Les logos trop précis ne sont pas tous possibles sur ce produit);0;surface d'impression;89 x 28.5mm;0;Respectueux de l'environnement;Nouveau;;Hors Ecriture
Bloc-Notes en Bambou avec Marque-pages;NAM-1;Couverture en bambou! Chaque bloc-notes comporte: bloc de 50 post-its en taille grande et moyenne, plus 5 ensembles de 50 marque pages fluos. Personnalisable avec marquage inclus.;250;999;3,30 €;divers;Bambou;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Gravure Laser (Les logos trop précis ne sont pas tous possibles sur ce produit);0;surface d'impression;89 x 28.5mm;0;Respectueux de l'environnement;Nouveau;;Hors Ecriture
Bloc-Notes en Bambou avec Marque-pages;NAM-1;Couverture en bambou! Chaque bloc-notes comporte: bloc de 50 post-its en taille grande et moyenne, plus 5 ensembles de 50 marque pages fluos. Personnalisable avec marquage inclus.;1000;999999;3,18 €;divers;Bambou;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Gravure Laser (Les logos trop précis ne sont pas tous possibles sur ce produit);0;surface d'impression;89 x 28.5mm;0;Respectueux de l'environnement;Nouveau;;Hors Ecriture
BLOC-NOTES SOUPLE AVEC STYLO;NTJ-1;Etui en vinyle personnalisable avec marquage inclus, avec une bande en couleur, cousu sur papier carton et composé de 50 feuilles détachables. avec stylo integré rétractable à encre bleue, maintenu en place par une sangle élastique noire cousue sur l’étui en vinyle.;50;99;4,48 €;divers;Bleu;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Empreinte thermique;0;surface d'impression;50 x 50mm;0;Articles en Papier;Nouveau;;Hors Ecriture
BLOC-NOTES SOUPLE AVEC STYLO;NTJ-1;Etui en vinyle personnalisable avec marquage inclus, avec une bande en couleur, cousu sur papier carton et composé de 50 feuilles détachables. avec stylo integré rétractable à encre bleue, maintenu en place par une sangle élastique noire cousue sur l’étui en vinyle.;100;249;4,26 €;divers;Bleu;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Empreinte thermique;0;surface d'impression;50 x 50mm;0;Articles en Papier;Nouveau;;Hors Ecriture
BLOC-NOTES SOUPLE AVEC STYLO;NTJ-1;Etui en vinyle personnalisable avec marquage inclus, avec une bande en couleur, cousu sur papier carton et composé de 50 feuilles détachables. avec stylo integré rétractable à encre bleue, maintenu en place par une sangle élastique noire cousue sur l’étui en vinyle.;250;999;3,96 €;divers;Bleu;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Empreinte thermique;0;surface d'impression;50 x 50mm;0;Articles en Papier;Nouveau;;Hors Ecriture
BLOC-NOTES SOUPLE AVEC STYLO;NTJ-1;Etui en vinyle personnalisable avec marquage inclus, avec une bande en couleur, cousu sur papier carton et composé de 50 feuilles détachables. avec stylo integré rétractable à encre bleue, maintenu en place par une sangle élastique noire cousue sur l’étui en vinyle.;1000;999999;3,82 €;divers;Bleu;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Empreinte thermique;0;surface d'impression;50 x 50mm;0;Articles en Papier;Nouveau;;Hors Ecriture
BLOC-NOTES SOUPLE AVEC STYLO;NTJ-2;Etui en vinyle personnalisable avec marquage inclus, avec une bande en couleur, cousu sur papier carton et composé de 50 feuilles détachables. avec stylo integré rétractable à encre bleue, maintenu en place par une sangle élastique noire cousue sur l’étui en vinyle.;50;99;4,48 €;divers;Marron;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Empreinte thermique;0;surface d'impression;50 x 50mm;0;Articles en Papier;Nouveau;;Hors Ecriture
BLOC-NOTES SOUPLE AVEC STYLO;NTJ-2;Etui en vinyle personnalisable avec marquage inclus, avec une bande en couleur, cousu sur papier carton et composé de 50 feuilles détachables. avec stylo integré rétractable à encre bleue, maintenu en place par une sangle élastique noire cousue sur l’étui en vinyle.;100;249;4,26 €;divers;Marron;0;Frais;Frais de port inclus, frais techniques inclus et frais de marquage inclus;0;technique de personalisation;Empreinte thermique;0;surface d'impression;50 x 50mm;0;Articles en Papier;Nouveau;;Hors Ecriture
